,Location,Date,Debate,Source,Speaker,Speech,RE
361,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so whatÛÓis so bad.",Secretary Clinton
372,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And honestly, that starts with Secretary Clinton.",Secretary Clinton
374,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.",Secretary Clinton
382,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"This isÛÓthis is Secretary Clinton's two minutes, please.",Secretary Clinton
384,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Yeah, well, let's start the clock again, Lester.",Lester
390,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do.",Trump
395,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, this is Secretary Clinton's two minutes.",Mr. Trump; Secretary Clinton
401,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Lester, how much?",Lester
412,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, we're...",Mr. Trump
417,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.,Secretary Clinton
426,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job.",Obama
427,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,The Fed is being more political than Secretary Clinton.,Secretary Clinton
428,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, we're talking about the burden that Americans have to pay, yet you have not released your tax returns.",Mr. Trump
434,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have.",Donald Trump
